processid	bin_uri	order_name	lat	lon	country
BCAHF122-19	BOLD:AAN9979	Anura	NA	NA	Austria
BCAHF123-19	BOLD:AAM0091	Anura	NA	NA	Austria
BCAHF129-19	BOLD:AAL6663	Anura	NA	NA	Austria
BCAHF142-19	BOLD:AAM0091	Anura	NA	NA	Austria
BCAHF143-19	BOLD:AAN9979	Anura	NA	NA	Austria
BCAHF144-19	BOLD:AAC2139	Anura	NA	NA	Austria
BCAHF147-19	BOLD:AAJ8500	Anura	NA	NA	Austria
BCAHF148-19	BOLD:AAL6663	Anura	NA	NA	Austria
BCAHF156-19	BOLD:AAM0090	Anura	NA	NA	Austria
BCAHF157-19	BOLD:AAL1420	Anura	NA	NA	Austria
BCAHF159-19	BOLD:AAN9979	Anura	NA	NA	Austria
BCAHF163-19	BOLD:AAL1420	Anura	NA	NA	Austria
BCAHF166-19	BOLD:AAJ8500	Anura	NA	NA	Austria
BCAHF167-19	BOLD:AAC2139	Anura	NA	NA	Austria
BCAHF170-19	BOLD:AAC2139	Anura	NA	NA	Austria
BCAHF171-19	BOLD:AAL6663	Anura	NA	NA	Austria
BCAHF191-19	NA	Anura	NA	NA	Austria
BSECO030-11	NA	Anura	4.773	-73.037	Colombia
BSECO055-11	NA	Anura	4.773	-73.037	Colombia
BSECO064-11	NA	Anura	4.773	-73.037	Colombia
BSECO088-11	NA	Anura	4.773	-73.038	Colombia
BSECO097-11	NA	Anura	4.773	-73.038	Colombia
BSECO127-11	NA	Anura	5.882	-73.678	Colombia
BSECO159-11	NA	Anura	5.201	-73.1834	Colombia
BSECO165-11	NA	Anura	5.211	-73.1332	Colombia
BSECO309-11	NA	Anura	7.3962	-73.4955	Colombia
BSECO340-11	NA	Anura	7.04	-72.99	Colombia
DBAFI289-13	BOLD:ACF8210	Anura	-23.345	-45.136	Brazil
DBAFI289-13	BOLD:ACF8210	Anura	-23.345	-45.136	Brazil
EANAA267-12	NA	Anura	NA	NA	United States
EANAA269-12	NA	Anura	NA	NA	Mexico
EANAA270-12	NA	Anura	NA	NA	United States
EANAA274-12	BOLD:ACG8085	Anura	NA	NA	United States
EANAA283-12	NA	Anura	14.703	-84.75	Honduras
EANAA289-13	NA	Anura	NA	NA	United States
EANAA302-13	NA	Anura	38.138	-75.7	United States
EANAA381-13	NA	Anura	NA	NA	United States
GBAAW36815-24	BOLD:AAD4241	Anura	NA	NA	Unrecoverable
GBAAW38673-24	BOLD:AGD4817	Anura	NA	NA	Unrecoverable
GBAAW46284-24	BOLD:AAB7346	Anura	NA	NA	Unrecoverable
GBAAW46290-24	BOLD:AAB7346	Anura	NA	NA	Unrecoverable
GBAAW47412-24	NA	Anura	NA	NA	Madagascar
GBAAW58942-24	NA	Anura	NA	NA	Unrecoverable
GBAAW66224-24	BOLD:ACT1509	Anura	NA	NA	Unrecoverable
GBAAW80533-24	BOLD:AGC9718	Anura	NA	NA	Unrecoverable
GBAP20070-19	BOLD:ACA5767	Anura	NA	NA	NA
GBAP20107-19	BOLD:ACA5767	Anura	NA	NA	NA
GBAP2422-13	BOLD:AAF4233	Anura	40.365	-3.65163	Spain
GBAP2441-13	BOLD:AAF4233	Anura	40.365	-3.65163	Spain
GBAP2521-13	BOLD:ACF2247	Anura	NA	NA	NA
GBAP2678-13	BOLD:AAB2115	Anura	NA	NA	NA
GBAP2838-13	BOLD:AAB2114	Anura	NA	NA	NA
GBAP2991-13	BOLD:AAA6595	Anura	NA	NA	NA
GBAP3172-13	BOLD:ACI0116	Anura	NA	NA	NA
GBAP3240-13	BOLD:AAE0886	Anura	NA	NA	NA
GBAP4493-13	BOLD:ACI1464	Anura	NA	NA	NA
GBMIN92219-17	BOLD:ADK4473	Anura	NA	NA	NA
GBMIN92502-17	BOLD:ACH6984	Anura	NA	NA	NA
GBMNC75248-20	BOLD:AAI8496	Anura	NA	NA	NA
GBMNC75567-20	BOLD:AAD9252	Anura	NA	NA	South Korea
GBMND1413-21	NA	Anura	NA	NA	Madagascar
GBMND61770-21	BOLD:ACF9126	Anura	-14.5099	-41.0671	Brazil
GBMNE66779-22	BOLD:ACA3798	Anura	NA	NA	Brazil
WAF038-15	BOLD:ACY1808	Anura	6.24246	-0.5571	Ghana
WAF038-15	BOLD:ACY1808	Anura	6.24246	-0.5571	Ghana
WAMAL160-10	BOLD:AAT9134	Anura	-32.8333	115.65	Australia
ABR004-13	NA	Anura	8.849	-82.514	Panama
ABR040-13	BOLD:ACJ9922	Anura	8.892	-78.562	Panama
ABR040-13	BOLD:ACJ9922	Anura	8.892	-78.562	Panama
ABR054-13	BOLD:AAA5632	Anura	8.901	-78.57	Panama
ABR054-13	BOLD:AAA5632	Anura	8.901	-78.57	Panama
ABR058-13	NA	Anura	8.892	-78.561	Panama
ABR088-13	NA	Anura	8.893	-78.564	Panama
ABR102-13	NA	Anura	8.795	-78.449	Panama
ABR131-13	NA	Anura	8.799	-78.462	Panama
ABR174-13	NA	Anura	8.017	-77.73	Panama
ABR196-13	NA	Anura	7.961	-77.704	Panama
ABR212-13	NA	Anura	7.959	-77.704	Panama
ABR227-13	NA	Anura	7.942	-77.703	Panama
ABR237-13	NA	Anura	7.942	-77.703	Panama
ABR262-13	NA	Anura	7.942	-77.703	Panama
ABR278-13	NA	Anura	7.947	-77.704	Panama
ABR281-13	NA	Anura	7.947	-77.704	Panama
ABR282-13	NA	Anura	7.947	-77.704	Panama
ABR314-13	NA	Anura	9.396	-82.271	Panama
ABR358-13	NA	Anura	7.988	-77.708	Panama
ABR377-13	NA	Anura	7.979	-77.709	Panama
ABR387-13	NA	Anura	7.962	-77.704	Panama
ABR403-13	NA	Anura	8.01	-77.723	Panama
ABR489-13	NA	Anura	7.711	-78.031	Panama
ABR499-13	NA	Anura	7.695	-78.043	Panama
ABR503-13	NA	Anura	7.693	-78.042	Panama
ABR508-13	NA	Anura	7.684	-78.039	Panama
BSECO348-11	BOLD:AAT9778	Anura	7.041	-72.985	Colombia
BSECO348-11	BOLD:AAT9778	Anura	7.041	-72.985	Colombia
GBAAW41541-24	BOLD:AGE7231	Anura	NA	NA	Unrecoverable
GBAAW58905-24	BOLD:ACB3808	Anura	NA	NA	Unrecoverable
GBAP0237-06	BOLD:AAC5021	Anura	NA	NA	Ecuador
GBAP1019-09	NA	Anura	NA	NA	NA
GBAP1847-13	BOLD:ACH2793	Anura	-19.0416	46.6849	Madagascar
GBAP2033-13	BOLD:ACW0998	Anura	NA	NA	NA
GBAP20457-19	BOLD:AAE6666	Anura	30.3766	-98.0421	United States
GBAP2278-13	BOLD:ACH9906	Anura	NA	NA	NA
GBAP2371-13	BOLD:AAF4233	Anura	40.365	-3.65163	Spain
GBAP2896-13	BOLD:AAA6597	Anura	NA	NA	NA
GBAP5115-15	BOLD:ACS5262	Anura	38.0733	104.691	China
GBAP5226-15	BOLD:ACS5262	Anura	38.0733	104.691	China
GBAP5669-15	BOLD:ACS5789	Anura	NA	NA	NA
GBCOC10033-23	BOLD:AAD9215	Anura	NA	NA	Unrecoverable
GBCOC3256-23	BOLD:AEL3912	Anura	33.2576	104.249	China
GBCOC7307-23	BOLD:ACA3587	Anura	NA	NA	Brazil
GBMAB1600-15	BOLD:ACW1293	Anura	NA	NA	United States
GBMAB2179-15	BOLD:ACW1101	Anura	-19.0416	46.6849	Madagascar
GBMIN92549-17	BOLD:ADJ7855	Anura	NA	NA	NA
GBMIN92943-17	BOLD:ADD4511	Anura	29.919	78.126	India
GBMNB1796-20	BOLD:AAB7344	Anura	NA	NA	NA
GBMNB2207-20	BOLD:AEB2780	Anura	NA	NA	NA
GBMNB2355-20	BOLD:ACF9137	Anura	-23.8496	-45.3665	Brazil
GBMNC75393-20	BOLD:ACF9007	Anura	NA	NA	Brazil
GBMND227-21	NA	Anura	8.67443	-80.1144	Panama
GBMND61328-21	BOLD:ACG2163	Anura	-8.73309	-42.4955	Brazil
GBMND682-21	BOLD:ACA3497	Anura	-20.2854	-42.9556	Brazil
GBMND686-21	BOLD:ACA3497	Anura	-20.2854	-42.9556	Brazil
GBMND936-21	BOLD:ABY6883	Anura	-12.7531	-47.7591	Brazil
GBMNF2904-22	BOLD:AET6447	Anura	NA	NA	NA
